Begin Time (s)	End Time (s)	Begin File	Begin Path	File Offset (s)	Selection	View	Channel	Low Freq (Hz)	High Freq (Hz)	selec.file	old.selec
17.092136695	17.150275334	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	17.092136695	1	Spectrogram 1	1	51695.8	62636.8	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	1
17.285393839	17.34514744	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	17.285393839	2	Spectrogram 1	1	53337	65919	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	2
17.897807376	17.9295683	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	17.897807376	3	Spectrogram 1	1	49507.7	58807.4	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	3
18.0619952	18.072492455	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	18.0619952	4	Spectrogram 1	1	47866.5	57166.3	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	4
18.201689431	18.24502425	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	18.201689431	5	Spectrogram 1	1	47046	61269.1	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	5
24.997500655	25.003691344	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	24.997500655	6	Spectrogram 1	1	52516.4	58533.9	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	6
25.160073517	25.207445742	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	25.160073517	7	Spectrogram 1	1	47046	60995.6	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	7
25.354676462	25.40447113	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	25.354676462	8	Spectrogram 1	1	47593	62910.3	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	8
25.52951075	25.754797977	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	25.52951075	9	Spectrogram 1	1	46225.4	67013.1	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	9
25.879067052	25.923478513	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	25.879067052	10	Spectrogram 1	1	49781.2	86980.3	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	10
26.116472286	26.20717933	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	26.116472286	11	Spectrogram 1	1	47593	62636.8	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	11
26.345013484	26.365738832	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	26.345013484	12	Spectrogram 1	1	47866.5	59081	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	12
26.517006958	26.575414758	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	26.517006958	13	Spectrogram 1	1	45404.8	62636.8	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	13
26.726710359	26.971377133	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	26.726710359	14	Spectrogram 1	1	46772.4	66739.6	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	14
27.261710163	27.475961815	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	27.261710163	15	Spectrogram 1	1	42943.1	61542.7	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	15
27.622804894	27.643799403	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	27.622804894	16	Spectrogram 1	1	51422.3	60175.1	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	16
