Begin Time (s)	End Time (s)	Begin File	Begin Path	File Offset (s)	Selection	View	Channel	Low Freq (Hz)	High Freq (Hz)	selec.file	org.sound.files	split.sels	peak.freq	duration	SNR
274.8399	274.8876873	T0000001-1.wav	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/cuts/T0000001-1.wav	274.8399	1	Spectrogram 1	1	22157.2	26337.8	fixed_pooled_manual_annotations_JE.txt	T0000001.WAV	NA	25.5859375	0.0477872999999818	1.87584278108175
480.0763	480.1327759	T0000001-3.wav	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/cuts/T0000001-3.wav	180.0763	2	Spectrogram 1	1	36789.3	40133.8	fixed_pooled_manual_annotations_JE.txt	T0000001.WAV	NA	38.8671875	0.0564759000000095	-0.233859026432496
480.2082	480.2489604	T0000001-3.wav	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/cuts/T0000001-3.wav	180.2082	3	Spectrogram 1	1	35953.2	42032.957	fixed_pooled_manual_annotations_JE.txt	T0000001.WAV	NA	40.4296875	0.0407603999999822	-4.43272301643526
480.3434	480.4237695	T0000001-3.wav	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/cuts/T0000001-3.wav	180.3434	4	Spectrogram 1	1	38043.5	43521.603	fixed_pooled_manual_annotations_JE.txt	T0000001.WAV	NA	40.0390625	0.0803694999999891	3.58915689141262
480.5042	480.6046859	T0000001-3.wav	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/cuts/T0000001-3.wav	180.5042	5	Spectrogram 1	1	33026.8	39427.827	fixed_pooled_manual_annotations_JE.txt	T0000001.WAV	NA	35.3515625	0.100485899999995	-1.86044765378597
480.1983	480.2118868	T0000001-3.wav	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/cuts/T0000001-3.wav	180.1983	8739	Spectrogram 1	1	48359.702	61757.515	fixed_pooled_manual_annotations_JE.txt	T0000001.WAV	NA	61.1328125	0.013586800000013	3.2888032500708
480.244	480.2637627	T0000001-3.wav	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/cuts/T0000001-3.wav	180.244	8740	Spectrogram 1	1	68456.421	73666.681	fixed_pooled_manual_annotations_JE.txt	T0000001.WAV	NA	72.0703125	0.0197627000000011	4.35788436137604
480.5985	480.6911373	T0000001-3.wav	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/cuts/T0000001-3.wav	180.5985	8741	Spectrogram 1	1	50220.509	81833.165	fixed_pooled_manual_annotations_JE.txt	T0000001.WAV	NA	65.0390625	0.0926373000000069	11.4071439970675
399.5613	399.874227681	T0000001-3.wav	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/cuts/T0000001-3.wav	99.5613	8746	Spectrogram 1	1	33992.812	47523.868	fixed_pooled_manual_annotations_JE.txt	T0000001.WAV	NA	37.6953125	0.312927680999991	2.88362101586118
642.8119	643.473948	T0000001-5.wav	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/cuts/T0000001-5.wav	42.8118999999999	8742	Spectrogram 1	1	27186.137	37646.296	fixed_pooled_manual_annotations_JE.txt	T0000001.WAV	NA	30.2734375	0.662048000000198	1.20383321116613
648.8284	649.470686	T0000001-5.wav	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/cuts/T0000001-5.wav	48.8284000000001	8743	Spectrogram 1	1	27186.137	35972.671	fixed_pooled_manual_annotations_JE.txt	T0000001.WAV	NA	31.0546875	0.6422859999998	-0.143866812514678
652.2202	652.867426	T0000001-5.wav	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/cuts/T0000001-5.wav	52.2202	8744	Spectrogram 1	1	23838.886	31370.201	fixed_pooled_manual_annotations_JE.txt	T0000001.WAV	NA	25.9765625	0.647226000000003	-0.0277923988630096
654.4323	654.775676	T0000001-5.wav	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/cuts/T0000001-5.wav	54.4322999999999	8745	Spectrogram 1	1	25930.918	30951.794	fixed_pooled_manual_annotations_JE.txt	T0000001.WAV	NA	28.3203125	0.343376000000099	0.0963407302602388
937.5869	937.667253041001	T0000002-1.wav	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/cuts/T0000002-1.wav	37.5869	12863	Spectrogram 1	1	73511.238	94392.985	fixed_pooled_manual_annotations_JE.txt	T0000002.WAV	NA	84.5703125	0.080353041001203	0.767548986867133
1170.3808	1170.41277723	T0000002-1.wav	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/cuts/T0000002-1.wav	270.3808	12864	Spectrogram 1	1	54121.044	68539.393	fixed_pooled_manual_annotations_JE.txt	T0000002.WAV	NA	63.8671875	0.0319772299989722	6.59056822706905
1170.3644	1170.385718154	T0000002-1.wav	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/cuts/T0000002-1.wav	270.3644	12865	Spectrogram 1	1	73014.053	87929.587	fixed_pooled_manual_annotations_JE.txt	T0000002.WAV	NA	85.7421875	0.0213181540020173	-3.92783994757786
1176.4765	1176.492078651	T0000002-1.wav	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/cuts/T0000002-1.wav	276.4765	12866	Spectrogram 1	1	65556.287	80969.005	fixed_pooled_manual_annotations_JE.txt	T0000002.WAV	NA	75.1953125	0.0155786509999984	1.02569087340925
