"sound.files","duration","selec","start","end","class"
"A-CT_1_AL_E02_22-2022-02-24_10-06-20_0000010.wav",0.00490000016259273,1500,81.9835227204053,81.9884227205679,"true.positive"
"A-CT_1_AL_E02_22-2022-02-24_10-06-20_0000010.wav",0.00904000029997576,1618,92.8083330795979,92.8173730798979,"true.positive"
"A-CT-10_AL_E02_22-2022-02-24_09-05-42_0000003.wav",0.0163000005424614,2,26.6377708865055,26.654070887048,"true.positive"
"A-CT-10_AL_E02_22-2022-02-24_09-05-42_0000003.wav",0.0345100011484973,4,32.3058910751407,32.3404010762892,"true.positive"
"A-CT-10_AL_E02_22-2022-02-24_09-05-42_0000003.wav",0.0434000014443541,7,32.5126810820226,32.556081083467,"true.positive"
"A-CT-10_AL_E02_22-2022-02-24_09-05-42_0000003.wav",0.0560400018650071,16,33.0992111015424,33.1552511034074,"true.positive"
"A-CT-10_AL_E02_22-2022-02-24_09-05-42_0000003.wav",0.0575700019159271,82,34.8697111604646,34.9272811623806,"true.positive"
"A-CT-10_AL_E02_22-2022-02-24_09-05-42_0000003.wav",0.0157100005228301,115,36.3338512091912,36.3495612097141,"true.positive"
"A-CT-10_AL_E02_22-2022-02-24_09-05-42_0000003.wav",0.140000004659207,124,37.0746212338441,37.2146212385033,"true.positive"
"A-CT-10_AL_E02_22-2022-02-24_09-05-42_0000003.wav",0.0324300010792697,139,37.9348312624719,37.9672612635512,"true.positive"
"A-CT-10_AL_E02_22-2022-02-24_09-05-42_0000003.wav",0.0301100010020647,175,38.695831287798,38.7259412888001,"true.positive"
"A-CT-10_AL_E02_22-2022-02-24_09-05-42_0000003.wav",0.117220003901089,181,38.9143912950717,39.0316112989728,"true.positive"
"A-CT-10_AL_E02_22-2022-02-24_09-05-42_0000003.wav",0.0141300004702458,211,39.8284613254919,39.8425913259622,"true.positive"
"A-CT-10_AL_E02_22-2022-02-24_09-05-42_0000003.wav",0.027840000926517,238,41.2220413718703,41.2498813727968,"true.positive"
"A-CT-10_AL_E02_22-2022-02-24_09-05-42_0000003.wav",0.0516900017202389,255,41.8107713914633,41.8624613931835,"true.positive"
"A-CT-10_AL_E02_22-2022-02-24_09-05-42_0000003.wav",0.0709900023625494,266,42.0572113996648,42.1282014020273,"true.positive"
"A-CT-10_AL_E02_22-2022-02-24_09-05-42_0000003.wav",0.00662000022031606,277,42.7584114230007,42.765031423221,"true.positive"
"A-CT-10_AL_E02_22-2022-02-24_09-05-42_0000003.wav",0.0211700007045437,293,43.0588214329984,43.0799914337029,"true.positive"
"A-CT-10_AL_E02_22-2022-02-24_09-05-42_0000003.wav",0.0250300008329987,310,43.5122014480869,43.5372314489199,"true.positive"
"A-CT-10_AL_E02_22-2022-02-24_09-05-42_0000003.wav",0.0521100017342206,325,43.8629114597585,43.9150214614927,"true.positive"
