Begin Time (s)	End Time (s)	Begin File	Begin Path	File Offset (s)	Selection	View	Channel	Low Freq (Hz)	High Freq (Hz)	selec.file	org.sound.files	split.sels	old.selec
274.8399	274.8876873	T0000001-1.wav	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000001-1.wav	274.8399	1	Spectrogram 1	1	22157.2	26337.8	fixed_pooled_manual_annotations_JE.txt	T0000001.WAV	NA	1
780.0763	780.1327759	T0000001-1.wav	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000001-1.wav	780.0763	2	Spectrogram 1	1	36789.3	40133.8	fixed_pooled_manual_annotations_JE.txt	T0000001.WAV	NA	2
780.2082	780.2489604	T0000001-1.wav	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000001-1.wav	780.2082	3	Spectrogram 1	1	35953.2	42032.957	fixed_pooled_manual_annotations_JE.txt	T0000001.WAV	NA	3
780.3434	780.4237695	T0000001-1.wav	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000001-1.wav	780.3434	4	Spectrogram 1	1	38043.5	43521.603	fixed_pooled_manual_annotations_JE.txt	T0000001.WAV	NA	4
780.5042	780.6046859	T0000001-1.wav	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000001-1.wav	780.5042	5	Spectrogram 1	1	33026.8	39427.827	fixed_pooled_manual_annotations_JE.txt	T0000001.WAV	NA	5
780.1983	780.2118868	T0000001-1.wav	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000001-1.wav	780.1983	6	Spectrogram 1	1	48359.702	61757.515	fixed_pooled_manual_annotations_JE.txt	T0000001.WAV	NA	8739
780.244	780.2637627	T0000001-1.wav	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000001-1.wav	780.244	7	Spectrogram 1	1	68456.421	73666.681	fixed_pooled_manual_annotations_JE.txt	T0000001.WAV	NA	8740
780.5985	780.6911373	T0000001-1.wav	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000001-1.wav	780.5985	8	Spectrogram 1	1	50220.509	81833.165	fixed_pooled_manual_annotations_JE.txt	T0000001.WAV	NA	8741
699.5613	699.874227681	T0000001-1.wav	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000001-1.wav	699.5613	9	Spectrogram 1	1	33992.812	47523.868	fixed_pooled_manual_annotations_JE.txt	T0000001.WAV	NA	8746
1242.8119	1243.473948	T0000001-2.wav	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000001-2.wav	342.8119	10	Spectrogram 1	1	27186.137	37646.296	fixed_pooled_manual_annotations_JE.txt	T0000001.WAV	NA	8742
1248.8284	1249.470686	T0000001-2.wav	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000001-2.wav	348.8284	11	Spectrogram 1	1	27186.137	35972.671	fixed_pooled_manual_annotations_JE.txt	T0000001.WAV	NA	8743
1252.2202	1252.867426	T0000001-2.wav	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000001-2.wav	352.2202	12	Spectrogram 1	1	23838.886	31370.201	fixed_pooled_manual_annotations_JE.txt	T0000001.WAV	NA	8744
