"sound.files","selec","start","end","top.freq","bottom.freq","Channel","selec.file","org.sound.files","split.sels","duration","peak.freq","SNR"
"TH-01-1.wav","1",17.092136695,17.150275334,62.6368,51.6958,1,"TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt","TH-01.wav",NA,0.0581386389999992,58.7890625,1.23439870989238
"TH-01-1.wav","10",25.879067052,25.923478513,86.9803,49.7812,1,"TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt","TH-01.wav",NA,0.0444114609999993,59.9609375,-2.89710526092262
"TH-01-1.wav","100",83.322909397,83.353593679,63.1838,45.6783,1,"TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt","TH-01.wav",NA,0.0306842819999957,56.8359375,-1.43320527017508
"TH-01-1.wav","101",83.524779673,83.547927464,59.3545,45.9519,1,"TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt","TH-01.wav",NA,0.0231477909999995,53.7109375,-0.695955439172429
"TH-01-1.wav","102",83.546251538,83.56186284,74.6718,60.9956,1,"TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt","TH-01.wav",NA,0.0156113019999964,64.2578125,1.53430388329446
"TH-01-1.wav","103",83.827176727,83.841980548,55.7987,47.046,1,"TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt","TH-01.wav",NA,0.014803821000001,51.3671875,4.1276094706539
"TH-01-1.wav","104",83.96875508,83.987057985,57.4398,45.6783,1,"TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt","TH-01.wav",NA,0.018302905000013,50.9765625,0.277589152930036
"TH-01-1.wav","105",84.128420261,84.177676608,62.3632,42.9431,1,"TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt","TH-01.wav",NA,0.0492563469999965,52.5390625,-3.04710992914258
"TH-01-1.wav","106",84.836626628,84.846854721,68.1072,58.8074,1,"TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt","TH-01.wav",NA,0.0102280929999949,65.4296875,-2.42214213900027
"TH-01-1.wav","107",84.998661168,85.047917516,64.0044,47.593,1,"TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt","TH-01.wav",NA,0.0492563480000001,57.2265625,1.17065014674107
"TH-01-1.wav","108",96.224357229,96.253426549,63.4573,50.3282,1,"TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt","TH-01.wav",NA,0.0290693199999907,60.3515625,1.33230977504031
"TH-01-1.wav","109",101.407759775,101.424447718,91.3567,50.3282,1,"TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt","TH-01.wav",NA,0.0166879429999938,77.5390625,1.10025655660688
"TH-01-1.wav","11",26.116472286,26.20717933,62.6368,47.593,1,"TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt","TH-01.wav",NA,0.0907070439999984,58.0078125,5.55589891670538
"TH-01-1.wav","110",101.784395669,101.808620102,60.7221,47.046,1,"TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt","TH-01.wav",NA,0.0242244330000005,51.3671875,2.51805622557662
"TH-01-1.wav","111",103.1535819,103.160310909,86.4333,70.0219,1,"TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt","TH-01.wav",NA,0.00672900899999718,85.3515625,0.439434833295791
"TH-01-1.wav","112",104.359002513,104.385649389,66.1926,50.6018,1,"TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt","TH-01.wav",NA,0.0266468760000009,60.3515625,-0.29216061424655
"TH-01-1.wav","113",104.498965904,104.525881941,66.1926,52.2429,1,"TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt","TH-01.wav",NA,0.0269160369999923,59.9609375,4.01988092198229
"TH-01-1.wav","114",105.011219624,105.051324519,69.2013,48.9606,1,"TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt","TH-01.wav",NA,0.0401048949999989,63.4765625,5.89898789141456
"TH-01-1.wav","115",105.838100086,105.859094594,67.8337,49.7812,1,"TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt","TH-01.wav",NA,0.0209945080000011,54.1015625,-1.33321324875598
"TH-01-1.wav","116",106.873884805,106.907799011,64.8249,51.1488,1,"TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt","TH-01.wav",NA,0.0339142059999915,54.8828125,-2.08421453315605
"TH-01-1.wav","117",108.163348315,108.178959616,57.1663,49.5077,1,"TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt","TH-01.wav",NA,0.015611301000007,54.1015625,-2.20468550955034
"TH-01-1.wav","118",111.985230762,111.993036413,63.4573,50.3282,1,"TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt","TH-01.wav",NA,0.00780565099999819,58.3984375,2.08027556351172
