Begin Time (s)	End Time (s)	Begin File	Begin Path	File Offset (s)	Selection	View	Channel	Low Freq (Hz)	High Freq (Hz)	type	subtype	selec.file
274.839905384	274.887692686	T0000001.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000001.WAV	274.839905384	1	Spectrogram 1	1	22157.2	26337.8	NA	NA	A_AMPH_15-45_estres_parte2_AUDIO T0000001.txt
780.076259707	780.13273561	T0000001.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000001.WAV	780.076259707	2	Spectrogram 1	1	36789.3	40133.8	NA	NA	A_AMPH_15-45_estres_parte2_AUDIO T0000001.txt
780.198986188	780.263064617	T0000001.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000001.WAV	780.198986188	3	Spectrogram 1	1	35953.2	80685.6	NA	NA	A_AMPH_15-45_estres_parte2_AUDIO T0000001.txt
780.343434171	780.423803725	T0000001.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000001.WAV	780.343434171	4	Spectrogram 1	1	38043.5	81939.8	NA	NA	A_AMPH_15-45_estres_parte2_AUDIO T0000001.txt
780.504173279	780.673600988	T0000001.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000001.WAV	780.504173279	5	Spectrogram 1	1	33026.8	81103.7	NA	NA	A_AMPH_15-45_estres_parte2_AUDIO T0000001.txt
3804.086531783	3804.099433159	T0000010.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000010.WAV	343.130371783	7	Spectrogram 1	1	61482.1	67996.7	NA	NA	A_AMPH_15-45_estres_parte2_AUDIO T0000010.txt
3819.662791644	3819.687519281	T0000010.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000010.WAV	358.706631644	8	Spectrogram 1	1	61889.3	82654.7	NA	NA	A_AMPH_15-45_estres_parte2_AUDIO T0000010.txt
3942.516116491	3942.540844129	T0000010.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000010.WAV	481.559956491	9	Spectrogram 1	1	52046.3	63612.1	NA	NA	A_AMPH_15-45_estres_parte2_AUDIO T0000010.txt
3952.741531788	3952.763034081	T0000010.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000010.WAV	491.785371788	10	Spectrogram 1	1	44979.1	54393.3	NA	NA	A_AMPH_15-45_estres_parte2_AUDIO T0000010.txt
4040.234896171	4040.311229312	T0000010.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000010.WAV	579.278736171	11	Spectrogram 1	1	61192.5	74267.8	NA	NA	A_AMPH_15-45_estres_parte2_AUDIO T0000010.txt
4068.388427257	4068.404553977	T0000010.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000010.WAV	607.432267257	12	Spectrogram 1	1	64759	75301.2	NA	NA	A_AMPH_15-45_estres_parte2_AUDIO T0000010.txt
4072.222285731	4072.245938254	T0000010.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000010.WAV	611.266125731	13	Spectrogram 1	1	63755	71285.1	NA	NA	A_AMPH_15-45_estres_parte2_AUDIO T0000010.txt
4192.193246947	4192.240551992	T0000010.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000010.WAV	731.237086947	14	Spectrogram 1	1	53714.9	66265.1	NA	NA	A_AMPH_15-45_estres_parte2_AUDIO T0000010.txt
4224.759543296	4224.783195818	T0000010.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000010.WAV	763.803383296	15	Spectrogram 1	1	55722.9	63253	NA	NA	A_AMPH_15-45_estres_parte2_AUDIO T0000010.txt
4340.0667188	4340.106498043	T0000010.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000010.WAV	879.1105588	16	Spectrogram 1	1	64257	88353.4	NA	NA	A_AMPH_15-45_estres_parte2_AUDIO T0000010.txt
4385.06897155	4386.1054506	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	7.46078155	20	Spectrogram 1	1	20909.1	25000	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4386.250184155	4387.310007348	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	8.641994155	21	Spectrogram 1	1	20454.5	25000	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
