"selec","View","Channel","start","end","bottom.freq","top.freq","selec.file","sound.files","peak.freq"
1,"Spectrogram 1",1,25.751899933,25.765342179,45.4545,55.5897,"CageTest0_A_5min_2021-10-29_08-57-08_0000001.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_08-57-08_0000001.wav",48.6328125
2,"Spectrogram 1",1,29.83690954,29.845937915,43.9189,52.8256,"CageTest0_A_5min_2021-10-29_08-57-08_0000001.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_08-57-08_0000001.wav",49.0234375
3,"Spectrogram 1",1,32.335575388,32.343199349,49.14,64.1892,"CageTest0_A_5min_2021-10-29_08-57-08_0000001.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_08-57-08_0000001.wav",58.3984375
4,"Spectrogram 1",1,49.295130444,49.30094873,26.1057,40.5405,"CageTest0_A_5min_2021-10-29_08-57-08_0000001.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_08-57-08_0000001.wav",31.4453125
5,"Spectrogram 1",1,64.500773654,64.514015269,50.3686,56.5111,"CageTest0_A_5min_2021-10-29_08-57-08_0000001.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_08-57-08_0000001.wav",54.4921875
6,"Spectrogram 1",1,64.673717179,64.70020041,47.2973,55.2826,"CageTest0_A_5min_2021-10-29_08-57-08_0000001.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_08-57-08_0000001.wav",50.9765625
7,"Spectrogram 1",1,75.692831214,75.701257696,30.4054,39.0049,"CageTest0_A_5min_2021-10-29_08-57-08_0000001.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_08-57-08_0000001.wav",34.9609375
10,"Spectrogram 1",1,84.323528098,84.33195458,44.8403,51.2899,"CageTest0_A_5min_2021-10-29_08-57-08_0000001.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_08-57-08_0000001.wav",48.2421875
11,"Spectrogram 1",1,86.282424059,86.293458738,31.3268,45.1474,"CageTest0_A_5min_2021-10-29_08-57-08_0000001.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_08-57-08_0000001.wav",41.6015625
12,"Spectrogram 1",1,86.471016766,86.482653337,58.0467,69.1032,"CageTest0_A_5min_2021-10-29_08-57-08_0000001.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_08-57-08_0000001.wav",62.6953125
13,"Spectrogram 1",1,125.202270719,125.221932512,27.3342,46.0688,"CageTest0_A_5min_2021-10-29_08-57-08_0000001.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_08-57-08_0000001.wav",36.1328125
14,"Spectrogram 1",1,149.084873124,149.091493932,79.2383,88.7592,"CageTest0_A_5min_2021-10-29_08-57-08_0000001.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_08-57-08_0000001.wav",85.7421875
15,"Spectrogram 1",1,157.798225793,157.808859211,18.7346,28.5627,"CageTest0_A_5min_2021-10-29_08-57-08_0000001.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_08-57-08_0000001.wav",21.2890625
16,"Spectrogram 1",1,166.774672767,166.788917535,28.5627,41.1548,"CageTest0_A_5min_2021-10-29_08-57-08_0000001.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_08-57-08_0000001.wav",32.2265625
17,"Spectrogram 1",1,173.405273871,173.436572236,31.3268,46.3759,"CageTest0_A_5min_2021-10-29_08-57-08_0000001.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_08-57-08_0000001.wav",39.6484375
18,"Spectrogram 1",1,174.18148474,174.192920681,30.4054,44.5332,"CageTest0_A_5min_2021-10-29_08-57-08_0000001.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_08-57-08_0000001.wav",34.9609375
19,"Spectrogram 1",1,258.948100432,258.960539526,64.8034,81.0811,"CageTest0_A_5min_2021-10-29_08-57-08_0000001.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_08-57-08_0000001.wav",73.2421875
20,"Spectrogram 1",1,262.79144928,262.806697201,31.0197,46.9902,"CageTest0_A_5min_2021-10-29_08-57-08_0000001.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_08-57-08_0000001.wav",38.0859375
21,"Spectrogram 1",1,263.056281301,263.074338049,35.6265,56.2039,"CageTest0_A_5min_2021-10-29_08-57-08_0000001.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_08-57-08_0000001.wav",40.0390625
1,"Spectrogram 1",1,32.977998149,33.002548571,61.398,69.5844,"CageTest0_A_5min_2021-10-29_09-09-53_0000002.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-09-53_0000002.wav",65.0390625
2,"Spectrogram 1",1,99.115097043,99.153038605,69.8992,88.4761,"CageTest0_A_5min_2021-10-29_09-09-53_0000002.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-09-53_0000002.wav",82.2265625
3,"Spectrogram 1",1,103.967140409,103.985553226,35.8942,48.8035,"CageTest0_A_5min_2021-10-29_09-09-53_0000002.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-09-53_0000002.wav",40.8203125
5,"Spectrogram 1",1,180.770211011,180.823217604,60.4534,74.3073,"CageTest0_A_5min_2021-10-29_09-09-53_0000002.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-09-53_0000002.wav",69.3359375
6,"Spectrogram 1",1,190.651131888,190.669544704,45.3401,67.3804,"CageTest0_A_5min_2021-10-29_09-09-53_0000002.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-09-53_0000002.wav",53.7109375
7,"Spectrogram 1",1,201.443770037,201.476131958,39.0428,50.6927,"CageTest0_A_5min_2021-10-29_09-09-53_0000002.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-09-53_0000002.wav",45.8984375
9,"Spectrogram 1",1,214.163607913,214.197643726,45.9698,63.2872,"CageTest0_A_5min_2021-10-29_09-09-53_0000002.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-09-53_0000002.wav",53.3203125
10,"Spectrogram 1",1,248.201055573,248.23285953,25.5038,38.4131,"CageTest0_A_5min_2021-10-29_09-09-53_0000002.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-09-53_0000002.wav",33.7890625
11,"Spectrogram 1",1,251.249566398,251.280254426,57.9345,73.0479,"CageTest0_A_5min_2021-10-29_09-09-53_0000002.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-09-53_0000002.wav",63.8671875
1,"Spectrogram 1",1,54.362345379,54.3822959,52.4194,63.8958,"CageTest0_A_5min_2021-10-29_09-20-13_0000003.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-20-13_0000003.wav",59.5703125
2,"Spectrogram 1",1,56.816655132,56.857110355,55.2109,71.0298,"CageTest0_A_5min_2021-10-29_09-20-13_0000003.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-20-13_0000003.wav",62.3046875
3,"Spectrogram 1",1,61.319520064,61.357481472,57.3821,77.2333,"CageTest0_A_5min_2021-10-29_09-20-13_0000003.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-20-13_0000003.wav",65.4296875
4,"Spectrogram 1",1,80.594705485,80.603295293,58.6228,77.5434,"CageTest0_A_5min_2021-10-29_09-20-13_0000003.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-20-13_0000003.wav",65.4296875
5,"Spectrogram 1",1,80.95548245,80.971553703,57.3821,65.7568,"CageTest0_A_5min_2021-10-29_09-20-13_0000003.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-20-13_0000003.wav",61.9140625
6,"Spectrogram 1",1,87.622538321,87.638609574,59.2432,70.4094,"CageTest0_A_5min_2021-10-29_09-20-13_0000003.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-20-13_0000003.wav",66.2109375
7,"Spectrogram 1",1,91.355818902,91.389901043,47.4566,63.5856,"CageTest0_A_5min_2021-10-29_09-20-13_0000003.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-20-13_0000003.wav",51.3671875
8,"Spectrogram 1",1,92.623151912,92.655017328,47.4566,56.1414,"CageTest0_A_5min_2021-10-29_09-20-13_0000003.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-20-13_0000003.wav",52.1484375
9,"Spectrogram 1",1,95.539376559,95.565145982,55.2109,69.1687,"CageTest0_A_5min_2021-10-29_09-20-13_0000003.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-20-13_0000003.wav",64.6484375
10,"Spectrogram 1",1,101.661667501,101.684111838,29.4665,59.5533,"CageTest0_A_5min_2021-10-29_09-20-13_0000003.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-20-13_0000003.wav",55.6640625
