"sound.files","selec","start","end","top.freq","bottom.freq","Channel","selec.file","org.sound.files","split.sels"
"T0000001-1.wav","1",274.8399,274.8876873,26.3378,22.1572,1,"fixed_pooled_manual_annotations_JE.txt","T0000001.WAV",NA
"T0000001-1.wav","2",780.0763,780.1327759,40.1338,36.7893,1,"fixed_pooled_manual_annotations_JE.txt","T0000001.WAV",NA
"T0000001-1.wav","3",780.2082,780.2489604,42.032957,35.9532,1,"fixed_pooled_manual_annotations_JE.txt","T0000001.WAV",NA
"T0000001-1.wav","4",780.3434,780.4237695,43.521603,38.0435,1,"fixed_pooled_manual_annotations_JE.txt","T0000001.WAV",NA
"T0000001-1.wav","5",780.5042,780.6046859,39.427827,33.0268,1,"fixed_pooled_manual_annotations_JE.txt","T0000001.WAV",NA
"T0000001-1.wav","8739",780.1983,780.2118868,61.757515,48.359702,1,"fixed_pooled_manual_annotations_JE.txt","T0000001.WAV",NA
"T0000001-1.wav","8740",780.244,780.2637627,73.666681,68.456421,1,"fixed_pooled_manual_annotations_JE.txt","T0000001.WAV",NA
"T0000001-1.wav","8741",780.5985,780.6911373,81.833165,50.220509,1,"fixed_pooled_manual_annotations_JE.txt","T0000001.WAV",NA
"T0000001-1.wav","8746",699.5613,699.874227681,47.523868,33.992812,1,"fixed_pooled_manual_annotations_JE.txt","T0000001.WAV",NA
"T0000001-2.wav","8742",342.8119,343.473948,37.646296,27.186137,1,"fixed_pooled_manual_annotations_JE.txt","T0000001.WAV",NA
"T0000001-2.wav","8743",348.8284,349.470686,35.972671,27.186137,1,"fixed_pooled_manual_annotations_JE.txt","T0000001.WAV",NA
"T0000001-2.wav","8744",352.2202,352.867426,31.370201,23.838886,1,"fixed_pooled_manual_annotations_JE.txt","T0000001.WAV",NA
"T0000001-2.wav","8745",354.4323,354.775676,30.951794,25.930918,1,"fixed_pooled_manual_annotations_JE.txt","T0000001.WAV",NA
"T0000002-1.wav","12863",37.5869,37.6672530410012,94.392985,73.511238,1,"fixed_pooled_manual_annotations_JE.txt","T0000002.WAV",NA
"T0000002-1.wav","12864",270.3808,270.412777229999,68.539393,54.121044,1,"fixed_pooled_manual_annotations_JE.txt","T0000002.WAV",NA
"T0000002-1.wav","12865",270.3644,270.385718154002,87.929587,73.014053,1,"fixed_pooled_manual_annotations_JE.txt","T0000002.WAV",NA
"T0000002-1.wav","12866",276.4765,276.492078651,80.969005,65.556287,1,"fixed_pooled_manual_annotations_JE.txt","T0000002.WAV",NA
"T0000002-1.wav","12867",557.9542,557.985357301,70.528131,56.109782,1,"fixed_pooled_manual_annotations_JE.txt","T0000002.WAV",NA
"T0000002-1.wav","6831",1.2178,1.23016000000063,82.1643,66.1323,1,"fixed_pooled_manual_annotations_JE.txt","T0000002.WAV",NA
"T0000002-1.wav","6832",6.2625,6.28816999999908,61.496,49.6988,1,"fixed_pooled_manual_annotations_JE.txt","T0000002.WAV",NA
"T0000002-1.wav","6833",6.6959,6.73535000000022,56.2249,48.1928,1,"fixed_pooled_manual_annotations_JE.txt","T0000002.WAV",NA
"T0000002-1.wav","6834",7.6061,7.6146599999984,57.9819,48.9458,1,"fixed_pooled_manual_annotations_JE.txt","T0000002.WAV",NA
"T0000002-1.wav","6835",22.5337,22.5686500000011,54.4679,47.6908,1,"fixed_pooled_manual_annotations_JE.txt","T0000002.WAV",NA
