"start","end","sound.files","selec","Channel","bottom.freq","top.freq","selec.file","peak.freq","duration","SNR"
17.092136695,17.150275334,"TH-01.wav",1,1,51.6958,62.6368,"TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt",58.7890625,0.0581386389999992,1.23503661093781
17.285393839,17.34514744,"TH-01.wav",2,1,53.337,65.919,"TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt",58.7890625,0.0597536010000006,-0.523862036895222
17.897807376,17.9295683,"TH-01.wav",3,1,49.5077,58.8074,"TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt",53.7109375,0.0317609240000003,0.813667699001994
18.0619952,18.072492455,"TH-01.wav",4,1,47.8665,57.1663,"TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt",54.1015625,0.0104972550000006,-1.33428489223285
18.201689431,18.24502425,"TH-01.wav",5,1,47.046,61.2691,"TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt",52.9296875,0.0433348190000018,-0.592049891930559
24.997500655,25.003691344,"TH-01.wav",6,1,52.5164,58.5339,"TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt",57.6171875,0.0061906890000003,2.60593234786882
25.160073517,25.207445742,"TH-01.wav",7,1,47.046,60.9956,"TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt",55.2734375,0.0473722250000002,-1.16882412989755
25.354676462,25.40447113,"TH-01.wav",8,1,47.593,62.9103,"TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt",56.0546875,0.0497946680000005,0.627462642284647
25.52951075,25.754797977,"TH-01.wav",9,1,46.2254,67.0131,"TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt",57.6171875,0.225287226999999,6.68574130312262
25.879067052,25.923478513,"TH-01.wav",10,1,49.7812,86.9803,"TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt",59.9609375,0.0444114609999993,-2.89695328824465
26.116472286,26.20717933,"TH-01.wav",11,1,47.593,62.6368,"TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt",58.0078125,0.0907070439999984,5.55690399545608
26.345013484,26.365738832,"TH-01.wav",12,1,47.8665,59.081,"TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt",56.4453125,0.0207253480000027,-0.300435429754737
26.517006958,26.575414758,"TH-01.wav",13,1,45.4048,62.6368,"TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt",56.0546875,0.0584078000000012,4.46870585735531
26.726710359,26.971377133,"TH-01.wav",14,1,46.7724,66.7396,"TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt",54.8828125,0.244666774000002,0.800532458332635
27.261710163,27.475961815,"TH-01.wav",15,1,42.9431,61.5427,"TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt",55.6640625,0.214251652000002,3.81394499708478
27.622804894,27.643799403,"TH-01.wav",16,1,51.4223,60.1751,"TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt",58.3984375,0.0209945089999977,2.45647219519773
28.018379627,28.036682532,"TH-01.wav",17,1,47.3195,58.2604,"TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt",55.2734375,0.0183029049999988,3.04936438386731
28.149460726,28.173146838,"TH-01.wav",18,1,47.593,65.919,"TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt",56.8359375,0.023686112,8.50718886244233
28.302612975,28.311495267,"TH-01.wav",19,1,47.593,57.1663,"TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt",52.9296875,0.00888229200000268,-2.10151679680913
28.547274593,28.564500856,"TH-01.wav",20,1,48.4136,61.2691,"TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt",56.0546875,0.0172262629999977,8.77976233935021
28.994405855,29.029396703,"TH-01.wav",21,1,44.8578,67.2867,"TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt",57.6171875,0.0349908479999996,-0.080009512502318
29.289674778,29.29882623,"TH-01.wav",22,1,46.7724,59.081,"TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt",56.8359375,0.00915145200000111,-0.835487678680946
29.449544495,29.484535342,"TH-01.wav",23,1,49.7812,62.9103,"TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt",58.7890625,0.0349908469999995,2.14060493225688
29.609156592,29.654913855,"TH-01.wav",24,1,51.1488,67.5602,"TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt",58.0078125,0.0457572629999987,2.26740897053788
29.774397499,29.827152931,"TH-01.wav",25,1,50.6018,60.9956,"TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt",56.8359375,0.0527554320000014,0.179445219449344
30.205153104,30.224532651,"TH-01.wav",26,1,47.046,60.4486,"TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt",58.7890625,0.0193795469999998,4.63363394108229
30.34161741,30.384952229,"TH-01.wav",27,1,46.7724,60.4486,"TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt",58.7890625,0.0433348189999982,1.52285494830119
30.511188441,30.530567988,"TH-01.wav",28,1,50.3282,62.3632,"TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt",56.8359375,0.0193795469999998,4.27255647598582
30.639176727,30.682780707,"TH-01.wav",29,1,47.593,60.4486,"TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt",55.2734375,0.0436039800000003,1.78307812008156
30.93651075,30.980922211,"TH-01.wav",30,1,52.5164,63.1838,"TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt",56.0546875,0.0444114609999993,3.28941766266448
31.600288147,31.620744335,"TH-01.wav",31,1,49.2341,60.9956,"TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt",56.4453125,0.0204561880000007,-1.25246130852675
34.760361924,34.785124678,"TH-01.wav",32,1,48.14,60.7221,"TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt",55.2734375,0.0247627540000011,4.69633075427549
