Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	28.459916979	28.472094792	47214.7	57065.2
2	Spectrogram 1	1	44.445694297	44.465621626	47554.3	62500.0
3	Spectrogram 1	1	71.038715682	71.060857160	48913.0	58423.9
4	Spectrogram 1	1	75.846367972	75.861497981	53668.5	62500.0
5	Spectrogram 1	1	80.562871606	80.578001615	50271.7	66576.1
6	Spectrogram 1	1	80.724504392	80.762513928	48913.0	63858.7
7	Spectrogram 1	1	96.475582617	96.508056784	50951.1	80163.0
8	Spectrogram 1	1	122.586658269	122.601788279	60122.3	67255.4
9	Spectrogram 1	1	129.116179903	129.136476258	54687.5	67595.1
10	Spectrogram 1	1	144.199690713	144.218510969	14606.0	28192.9
11	Spectrogram 1	1	147.902483266	147.926838891	43817.9	63858.7
12	Spectrogram 1	1	148.420962297	148.451222316	47214.7	55706.5
13	Spectrogram 1	1	150.753566689	150.775708166	52989.1	66236.4
14	Spectrogram 1	1	200.037174583	200.050090445	19021.7	29891.3
15	Spectrogram 1	1	200.038281657	200.050090445	38722.8	52989.1
16	Spectrogram 1	1	200.591818597	200.608055681	19701.1	43138.6
17	Spectrogram 1	1	203.851044120	203.890898780	43478.3	57404.9
18	Spectrogram 1	1	205.675501884	205.698381411	43478.3	54687.5
19	Spectrogram 1	1	205.874037133	205.923486433	47554.3	62160.3
20	Spectrogram 1	1	206.109105819	206.129771199	47214.7	64877.7
21	Spectrogram 1	1	206.782944796	206.804348224	47554.3	55366.8
22	Spectrogram 1	1	208.620687446	208.638769653	47894.0	61820.7
23	Spectrogram 1	1	210.601980676	210.622277030	34646.7	46195.7
24	Spectrogram 1	1	210.620431907	210.646632655	24796.2	38383.2
25	Spectrogram 1	1	229.040296247	229.054319183	18002.7	31250.0
26	Spectrogram 1	1	230.852207174	230.891692809	48573.4	59782.6
27	Spectrogram 1	1	236.967314294	236.995729191	49252.7	61820.7
28	Spectrogram 1	1	242.009666821	242.036974643	47894.0	60462.0
