Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	9.612322243	9.631200196	58555.8	70691.7
2	Spectrogram 1	1	12.432618883	12.443106635	56128.6	68568.0
3	Spectrogram 1	1	17.036813984	17.053069999	55825.2	66747.6
4	Spectrogram 1	1	18.188156615	18.205723600	55521.8	68568.0
5	Spectrogram 1	1	19.199716651	19.222789705	54004.9	72815.5
6	Spectrogram 1	1	20.568552659	20.595820814	47330.1	57949.0
7	Spectrogram 1	1	24.835645384	24.853736756	55825.2	71298.5
8	Spectrogram 1	1	24.851639205	24.862126957	80097.1	91322.8
9	Spectrogram 1	1	25.334363302	25.349308349	54611.7	66140.8
10	Spectrogram 1	1	26.072382932	26.097029149	54915.0	73725.7
11	Spectrogram 1	1	26.281351389	26.305211024	58252.4	73118.9
12	Spectrogram 1	1	27.078947953	27.090222286	54004.9	68264.6
13	Spectrogram 1	1	29.368198007	29.388124736	57949.0	75242.7
14	Spectrogram 1	1	29.525776480	29.546227596	59769.4	70691.7
15	Spectrogram 1	1	36.000765426	36.025673837	52487.9	68264.6
16	Spectrogram 1	1	36.504869589	36.538430395	49757.3	63410.2
17	Spectrogram 1	1	36.964113682	36.978796535	68871.4	87075.2
18	Spectrogram 1	1	37.760301736	37.800679581	54308.3	70691.7
19	Spectrogram 1	1	38.292180124	38.311844659	53701.5	66444.2
20	Spectrogram 1	1	39.639375007	39.656679798	64623.8	75849.5
21	Spectrogram 1	1	39.951819511	39.975416953	54004.9	66140.8
22	Spectrogram 1	1	41.310417821	41.323527511	59466.0	74332.5
23	Spectrogram 1	1	41.302289814	41.312777565	92233.0	101638.3
24	Spectrogram 1	1	41.808624627	41.834581813	55521.8	69478.2
25	Spectrogram 1	1	42.047136658	42.073093844	54004.9	67051.0
26	Spectrogram 1	1	42.112947301	42.124483828	58859.2	68264.6
27	Spectrogram 1	1	42.311429526	42.347087883	58859.2	68871.4
28	Spectrogram 1	1	42.446983720	42.476873813	49150.5	67051.0
29	Spectrogram 1	1	42.690764992	42.724850185	61286.4	74332.5
30	Spectrogram 1	1	42.967362651	43.020063604	38228.2	47936.9
31	Spectrogram 1	1	43.763717302	43.776302605	62196.6	72815.5
32	Spectrogram 1	1	44.844570108	44.855844441	64927.2	71905.3
33	Spectrogram 1	1	45.112868503	45.145380534	53094.7	62196.6
34	Spectrogram 1	1	46.190027185	46.222014829	40048.5	46116.5
35	Spectrogram 1	1	46.432465945	46.457636550	59466.0	77973.3
36	Spectrogram 1	1	46.587075961	46.603594170	53701.5	67961.2
37	Spectrogram 1	1	48.370749373	48.400901660	54308.3	68264.6
38	Spectrogram 1	1	48.508663247	48.562675169	45509.7	52184.5
39	Spectrogram 1	1	50.628131131	50.646484697	62196.6	74332.5
40	Spectrogram 1	1	50.677947953	50.692106418	53398.1	66140.8
41	Spectrogram 1	1	50.807209495	50.854142185	46723.3	62196.6
42	Spectrogram 1	1	51.613722178	51.633911100	67051.0	84041.3
43	Spectrogram 1	1	51.740886170	51.776544526	46723.3	61589.8
44	Spectrogram 1	1	52.503710038	52.523112379	54308.3	65837.4
45	Spectrogram 1	1	52.602294906	52.621435053	48240.3	57038.8
46	Spectrogram 1	1	53.416984371	53.435337937	76152.9	91322.8
47	Spectrogram 1	1	53.521337503	53.538380100	52791.3	66444.2
48	Spectrogram 1	1	53.745039108	53.758148798	55218.4	71905.3
49	Spectrogram 1	1	53.870277240	53.887319837	47330.1	55521.8
50	Spectrogram 1	1	53.885484480	53.917209930	30036.4	38228.2
51	Spectrogram 1	1	54.123569674	54.136417170	53094.7	61893.2
52	Spectrogram 1	1	56.011002689	56.022539216	52487.9	71601.9
53	Spectrogram 1	1	58.857204186	58.890502798	72815.5	93143.2
54	Spectrogram 1	1	60.969216325	61.034764774	48847.1	60376.2
55	Spectrogram 1	1	61.622527511	61.650057860	48240.3	59162.6
56	Spectrogram 1	1	61.729240387	61.753886604	48240.3	59162.6
57	Spectrogram 1	1	61.838837394	61.855879991	53701.5	64320.4
58	Spectrogram 1	1	67.253278326	67.281333062	45813.1	58252.4
59	Spectrogram 1	1	67.576825472	67.597538782	56128.6	72512.1
60	Spectrogram 1	1	68.385966705	68.402222721	58252.4	67051.0
61	Spectrogram 1	1	70.614510215	70.628668680	73725.7	88288.8
62	Spectrogram 1	1	70.774186237	70.786247152	59466.0	73725.7
63	Spectrogram 1	1	70.782838633	70.803551943	40958.7	54915.0
64	Spectrogram 1	1	72.851533472	72.885094278	52487.9	65230.6
65	Spectrogram 1	1	73.044770301	73.056044635	69478.2	81007.3
66	Spectrogram 1	1	74.727064038	74.775832085	50364.1	64320.4
67	Spectrogram 1	1	75.160826124	75.179704077	48543.7	61589.8
68	Spectrogram 1	1	75.108649558	75.159515155	65230.6	87682.0
69	Spectrogram 1	1	75.270947519	75.291923022	47330.1	62500.0
