Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz)
1,Spectrogram 1,1,0.603360185,0.638243964,65130.3,73146.3
2,Spectrogram 1,1,1.180880533,1.237728173,46342.7,55110.2
3,Spectrogram 1,1,12.758449136,12.782996980,54358.7,62374.7
4,Spectrogram 1,1,19.625420012,19.666763751,61372.7,77154.3
5,Spectrogram 1,1,21.013025777,21.050493540,53106.2,63376.8
6,Spectrogram 1,1,27.128071227,27.166830982,62374.7,76903.8
7,Spectrogram 1,1,31.461450318,31.496334097,65881.8,77905.8
8,Spectrogram 1,1,52.639924688,52.683852411,66132.3,79408.8
9,Spectrogram 1,1,69.406228417,69.446280164,58366.7,70140.3
10,Spectrogram 1,1,70.163339661,70.202099416,64629.3,78907.8
11,Spectrogram 1,1,70.893318823,70.946290488,44839.7,55861.7
12,Spectrogram 1,1,70.751199721,70.777039558,64879.8,80410.8
13,Spectrogram 1,1,87.014887375,87.039435220,57114.2,66883.8
14,Spectrogram 1,1,87.020055342,87.048479163,68887.8,88176.4
15,Spectrogram 1,1,94.118324040,94.168711721,46843.7,58116.2
16,Spectrogram 1,1,105.521553078,105.569356776,42835.7,55611.2
17,Spectrogram 1,1,105.542224948,105.570648768,61122.2,76402.8
18,Spectrogram 1,1,110.039691710,110.090079391,42585.2,55110.2
19,Spectrogram 1,1,110.467344306,110.502228086,43336.7,54859.7
20,Spectrogram 1,1,112.232222811,112.273566550,46342.7,55360.7
21,Spectrogram 1,1,113.931207956,113.989347588,61122.2,72144.3
22,Spectrogram 1,1,115.623733503,115.659909274,47094.2,53607.2
23,Spectrogram 1,1,113.936387349,113.975147104,45591.2,55611.2
24,Spectrogram 1,1,116.625036458,116.650876294,44839.7,55861.7
25,Spectrogram 1,1,121.860238426,121.905458140,46593.2,59619.2
26,Spectrogram 1,1,121.889954238,121.910626107,64879.8,75901.8
27,Spectrogram 1,1,132.348708265,132.391343996,61623.2,74398.8
28,Spectrogram 1,1,132.328036396,132.364212167,44088.2,54108.2
29,Spectrogram 1,1,134.640381049,134.669450865,63877.8,79158.3
30,Spectrogram 1,1,134.899424515,134.922680368,43336.7,52855.7
31,Spectrogram 1,1,134.907822462,134.942706241,58116.2,70390.8
32,Spectrogram 1,1,136.558990035,136.590643835,63877.8,79408.8
33,Spectrogram 1,1,136.547362108,136.585475867,49098.2,58867.7
34,Spectrogram 1,1,137.982123582,138.016361365,44589.2,54859.7
35,Spectrogram 1,1,157.230251732,157.250277606,58366.7,69138.3
36,Spectrogram 1,1,157.241879659,157.253507585,74649.3,89679.4
37,Spectrogram 1,1,158.212164750,158.233482616,65130.3,78907.8
38,Spectrogram 1,1,158.245756538,158.255446477,63376.8,72144.3
39,Spectrogram 1,1,158.385290968,158.429864687,45591.2,58366.7
40,Spectrogram 1,1,159.718627805,159.749635609,45841.7,57865.7
