Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	343.130371783	343.143273159	61482.1	67996.7
2	Spectrogram 1	1	358.706631644	358.731359281	61889.3	82654.7
3	Spectrogram 1	1	481.559956491	481.584684129	52046.3	63612.1
4	Spectrogram 1	1	491.785371788	491.806874081	44979.1	54393.3
5	Spectrogram 1	1	579.278736171	579.355069312	61192.5	74267.8
6	Spectrogram 1	1	607.432267257	607.448393977	64759.0	75301.2
7	Spectrogram 1	1	611.266125731	611.289778254	63755.0	71285.1
8	Spectrogram 1	1	731.237086947	731.284391992	53714.9	66265.1
9	Spectrogram 1	1	763.803383296	763.827035818	55722.9	63253.0
10	Spectrogram 1	1	879.110558800	879.150338043	64257.0	88353.4
11	Spectrogram 1	1	879.200868432	879.200868432	56726.9	56726.9
