Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	4.974632555	6.071806325	20000.0	24545.5
2	Spectrogram 1	1	6.207202240	7.316048092	20000.0	25000.0
3	Spectrogram 1	1	7.460781550	8.497260600	20909.1	25000.0
4	Spectrogram 1	1	8.641994155	9.701817348	20454.5	25000.0
5	Spectrogram 1	1	9.862891641	10.890032972	20909.1	25454.5
6	Spectrogram 1	1	11.023094253	12.045566849	20909.1	25454.5
7	Spectrogram 1	1	16.604674002	17.900272839	20000.0	26818.2
8	Spectrogram 1	1	18.049674718	19.172527043	20000.0	25000.0
9	Spectrogram 1	1	19.326598135	20.507810768	20454.5	25000.0
10	Spectrogram 1	1	20.654878744	20.899992038	21363.6	25000.0
11	Spectrogram 1	1	24.203185257	25.083258702	20000.0	25454.5
12	Spectrogram 1	1	25.424082811	26.542266312	20000.0	25000.0
13	Spectrogram 1	1	26.682330961	27.781839163	20909.1	25454.5
14	Spectrogram 1	1	27.935910357	28.666581413	21363.6	25454.5
15	Spectrogram 1	1	35.560100324	36.734309602	19545.5	25909.1
16	Spectrogram 1	1	36.855698411	37.817476287	20909.1	24545.5
17	Spectrogram 1	1	37.915521555	38.818939122	20909.1	24090.9
18	Spectrogram 1	1	43.352367588	44.540583439	20000.0	26818.2
19	Spectrogram 1	1	44.647966335	45.446335348	20454.5	24545.5
20	Spectrogram 1	1	45.553718295	46.695245801	20000.0	24090.9
21	Spectrogram 1	1	46.814300829	48.002516590	20454.5	25000.0
22	Spectrogram 1	1	55.533330506	56.695867841	20000.0	26363.6
24	Spectrogram 1	1	56.824260302	57.921434032	20000.0	24545.5
25	Spectrogram 1	1	58.073170813	59.226370499	20909.1	24545.5
26	Spectrogram 1	1	59.396782504	60.575660725	20909.1	25454.5
27	Spectrogram 1	1	62.704644569	63.967561406	19545.5	26363.6
28	Spectrogram 1	1	64.088949155	65.221139130	20454.5	25000.0
29	Spectrogram 1	1	68.330576256	69.551473358	20000.0	25909.1
30	Spectrogram 1	1	69.693872159	70.856409494	20454.5	25000.0
31	Spectrogram 1	1	70.996474182	71.969924120	21363.6	25909.1
32	Spectrogram 1	1	80.035318312	81.218865298	19545.5	24545.5
33	Spectrogram 1	1	81.380840395	82.542044372	20454.5	25000.0
34	Spectrogram 1	1	85.767611382	86.984110745	19545.5	26818.2
35	Spectrogram 1	1	87.207232575	88.441193631	20454.5	25000.0
36	Spectrogram 1	1	88.592529248	89.824550117	21363.6	25000.0
37	Spectrogram 1	1	94.259825761	94.721591069	21818.2	27272.7
38	Spectrogram 1	1	95.849811642	97.138098049	20909.1	24545.5
39	Spectrogram 1	1	101.531659869	102.742338661	20454.5	25000.0
40	Spectrogram 1	1	106.608167850	107.397825331	23636.4	27272.7
41	Spectrogram 1	1	110.754355169	112.034880749	20909.1	27727.3
42	Spectrogram 1	1	112.192036170	113.306675538	20454.5	24545.5
