Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	33.345170509	34.153242911	23936.170	28368.794
3	Spectrogram 1	1	38.500173249	39.507713734	22163.121	27482.270
4	Spectrogram 1	1	39.823916012	40.889256471	23049.645	27925.532
5	Spectrogram 1	1	41.117058122	42.151798473	23049.645	27925.532
6	Spectrogram 1	1	48.212908398	49.281649236	23049.645	28368.794
7	Spectrogram 1	1	52.931008280	53.931748717	23049.645	27925.532
8	Spectrogram 1	1	54.386218643	55.212424017	22606.383	27482.270
9	Spectrogram 1	1	55.679360699	56.366165573	23492.908	28368.794
10	Spectrogram 1	1	64.769890803	65.964432649	22606.383	29698.582
11	Spectrogram 1	1	66.388301303	67.505775416	22606.383	27482.270
12	Spectrogram 1	1	76.007873455	76.735171652	46250.000	50833.333
13	Spectrogram 1	1	67.806849967	68.941939988	23333.333	27500.000
14	Spectrogram 1	1	71.976202427	73.219546020	22500.000	30000.000
15	Spectrogram 1	1	73.487553124	74.701468607	22916.667	27083.333
16	Spectrogram 1	1	75.519153657	76.755140188	22916.667	27916.667
17	Spectrogram 1	1	77.082004734	78.205533306	21666.667	27500.000
18	Spectrogram 1	1	77.189207647	78.198176243	46250.000	51666.667
19	Spectrogram 1	1	79.552927100	80.214011733	23333.333	28333.333
20	Spectrogram 1	1	85.770696077	85.853725784	30833.333	44166.667
21	Spectrogram 1	1	85.967235855	87.519576294	24166.667	30000.000
22	Spectrogram 1	1	90.035691597	91.840273952	22083.333	32500.000
23	Spectrogram 1	1	92.303769840	93.588102783	22916.667	27916.667
24	Spectrogram 1	1	93.728937906	95.017474885	22916.667	27500.000
25	Spectrogram 1	1	102.226345306	103.159641219	22083.333	26666.667
26	Spectrogram 1	1	105.076681552	105.366760024	23333.333	27083.333
27	Spectrogram 1	1	106.520768788	107.980620226	21666.667	28750.000
28	Spectrogram 1	1	106.912794958	107.977467029	45416.667	50000.000
29	Spectrogram 1	1	108.131965210	109.400533019	22500.000	27083.333
30	Spectrogram 1	1	108.192924820	109.383717966	45833.333	50833.333
31	Spectrogram 1	1	109.555032426	110.665948891	47083.333	52083.333
32	Spectrogram 1	1	109.548726372	110.674356962	22916.667	27083.333
33	Spectrogram 1	1	114.701824736	115.602539410	22083.333	27500.000
34	Spectrogram 1	1	111.514114564	112.643949190	21250.000	28333.333
35	Spectrogram 1	1	111.649694719	112.631337083	46666.667	52083.333
36	Spectrogram 1	1	117.419733833	119.068766883	21666.667	29583.333
37	Spectrogram 1	1	123.355832943	124.717940492	22083.333	27500.000
38	Spectrogram 1	1	124.873489818	125.935008862	22500.000	27500.000
39	Spectrogram 1	1	126.036956730	126.699092308	23333.333	27083.333
40	Spectrogram 1	1	128.130566504	128.192576032	27500.000	30416.667
41	Spectrogram 1	1	128.316595706	129.413849054	23333.333	27500.000
