Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz)
1,Spectrogram 1,1,85.238899237,85.272716172,19787.6,31370.7
2,Spectrogram 1,1,117.566347230,117.600164166,60569.5,74324.3
3,Spectrogram 1,1,246.790865734,246.853387743,58880.3,77702.7
4,Spectrogram 1,1,246.956411077,247.009102581,56467.2,75048.3
5,Spectrogram 1,1,247.115664996,247.131000583,57191.1,66361.0
6,Spectrogram 1,1,259.261034524,259.272437909,61052.1,69739.4
7,Spectrogram 1,1,259.280302313,259.293278579,58156.4,68774.1
8,Spectrogram 1,1,336.076066430,336.092581677,38610.0,48503.9
9,Spectrogram 1,1,422.918194118,422.945719530,54778.0,69256.8
10,Spectrogram 1,1,428.584486390,428.597462656,24613.9,39092.7
11,Spectrogram 1,1,472.776156060,472.804467913,42471.0,52364.9
12,Spectrogram 1,1,652.303393560,652.320695248,26303.1,41023.2
13,Spectrogram 1,1,675.702353955,675.713364120,33301.2,50917.0
