Selection	View	Channel	Begin Time (s)	End Time (s)	Begin File	Low Freq (Hz)	High Freq (Hz)	type	subtype
1	Spectrogram 1	1	227.297700000	227.344300000	T0000015 sinmarcas.wav	41884.817	56282.723	50	NA
2	Spectrogram 1	1	236.568000000	236.591600000	T0000015 sinmarcas.wav	64285.714	79591.837	50	NA
3	Spectrogram 1	1	250.176500000	250.206200000	T0000015 sinmarcas.wav	52040.816	56122.449	50	NA
4	Spectrogram 1	1	254.892000000	254.927800000	T0000015 sinmarcas.wav	49625.468	59456.929	50	NA
5	Spectrogram 1	1	260.878945955	260.901800000	T0000015 sinmarcas.wav	47752.809	53838.951	50	NA
6	Spectrogram 1	1	261.536968328	261.601200000	T0000015 sinmarcas.wav	52902.622	58052.434	50	NA
7	Spectrogram 1	1	279.551626612	279.593900000	T0000015 sinmarcas.wav	63670.412	79588.015	50	NA
8	Spectrogram 1	1	279.693800000	279.752906920	T0000015 sinmarcas.wav	47752.809	60393.258	50	NA
9	Spectrogram 1	1	478.933739261	478.963713476	T0000015 sinmarcas.wav	51498.127	58988.764	50	NA
10	Spectrogram 1	1	489.883100000	489.916900000	T0000015 sinmarcas.wav	49625.468	56647.940	50	NA
11	Spectrogram 1	1	525.615600000	525.663200000	T0000015 sinmarcas.wav	63670.412	87078.652	50	NA
12	Spectrogram 1	1	547.270600000	547.318700000	T0000015 sinmarcas.wav	67883.895	81460.674	50	NA
13	Spectrogram 1	1	547.405800000	547.427389608	T0000015 sinmarcas.wav	48689.139	53838.951	50	NA
14	Spectrogram 1	1	561.823630432	561.859760739	T0000015 sinmarcas.wav	43071.161	58520.599	50	NA
15	Spectrogram 1	1	564.785100000	564.821022165	T0000015 sinmarcas.wav	48220.974	54307.116	50	NA
16	Spectrogram 1	1	600.647100000	600.680400000	T0000015 sinmarcas.wav	45411.985	55711.610	50	NA
17	Spectrogram 1	1	613.667300000	613.702100000	T0000015 sinmarcas.wav	51966.292	56179.775	50	NA
18	Spectrogram 1	1	643.969313963	644.011385757	T0000015 sinmarcas.wav	53370.787	56647.940	50	NA
19	Spectrogram 1	1	648.432100000	648.448003005	T0000015 sinmarcas.wav	51498.127	57116.105	50	NA
20	Spectrogram 1	1	838.812681027	838.826400000	T0000015 sinmarcas.wav	50561.798	55711.610	50	NA
21	Spectrogram 1	1	842.786593080	842.831900000	T0000015 sinmarcas.wav	66947.566	81928.839	50	NA
22	Spectrogram 1	1	852.646491310	852.672908690	T0000015 sinmarcas.wav	63202.247	78183.521	50	NA
23	Spectrogram 1	1	869.272772197	869.310014874	T0000015 sinmarcas.wav	51498.127	60861.423	50	NA
24	Spectrogram 1	1	924.328237748	924.374500000	T0000015 sinmarcas.wav	68352.060	88483.146	50	NA
25	Spectrogram 1	1	931.350500000	931.365927207	T0000015 sinmarcas.wav	53370.787	62265.918	50	NA
26	Spectrogram 1	1	946.611663715	946.666500000	T0000015 sinmarcas.wav	52902.622	59925.094	50	NA
27	Spectrogram 1	1	961.020889400	961.038810739	T0000015 sinmarcas.wav	51966.292	77247.191	50	NA
28	Spectrogram 1	1	967.724000000	967.752431622	T0000015 sinmarcas.wav	58520.599	74906.367	50	NA
29	Spectrogram 1	1	970.027000000	970.055600000	T0000015 sinmarcas.wav	67883.895	84269.663	50	NA
30	Spectrogram 1	1	970.234146875	970.248940608	T0000015 sinmarcas.wav	52434.457	57584.270	50	NA
31	Spectrogram 1	1	971.639200000	971.678200000	T0000015 sinmarcas.wav	71629.213	85205.993	50	NA
32	Spectrogram 1	1	973.776472793	973.788600000	T0000015 sinmarcas.wav	69288.390	77247.191	50	NA
33	Spectrogram 1	1	983.571693080	983.609394271	T0000015 sinmarcas.wav	68820.225	86142.322	50	NA
34	Spectrogram 1	1	989.896100000	989.920200000	T0000015 sinmarcas.wav	54775.281	62265.918	50	NA
35	Spectrogram 1	1	996.583439261	996.600718973	T0000015 sinmarcas.wav	53370.787	60861.423	50	NA
36	Spectrogram 1	1	1013.508600000	1013.522593676	T0000015 sinmarcas.wav	52902.622	61329.588	50	NA
37	Spectrogram 1	1	1014.333169191	1014.349300000	T0000015 sinmarcas.wav	70692.884	79119.850	50	NA
38	Spectrogram 1	1	1024.612518378	1024.651189088	T0000015 sinmarcas.wav	75374.532	88014.981	50	NA
39	Spectrogram 1	1	1025.362900000	1025.380680133	T0000015 sinmarcas.wav	68820.225	80524.345	50	NA
40	Spectrogram 1	1	1031.074700000	1031.097200000	T0000015 sinmarcas.wav	53370.787	62734.082	50	NA
41	Spectrogram 1	1	1032.148876612	1032.177100000	T0000015 sinmarcas.wav	65543.071	76779.026	50	NA
42	Spectrogram 1	1	1032.367500000	1032.402300000	T0000015 sinmarcas.wav	52434.457	57584.270	50	NA
43	Spectrogram 1	1	1033.350500000	1033.390000000	T0000015 sinmarcas.wav	53370.787	58052.434	50	NA
44	Spectrogram 1	1	1035.195800000	1035.216531909	T0000015 sinmarcas.wav	53370.787	61797.753	50	NA
45	Spectrogram 1	1	1042.775000000	1042.821694271	T0000015 sinmarcas.wav	53370.787	58988.764	50	NA
46	Spectrogram 1	1	1044.822500000	1044.860300000	T0000015 sinmarcas.wav	66479.401	87546.816	50	NA
47	Spectrogram 1	1	1045.062600000	1045.113200000	T0000015 sinmarcas.wav	54775.281	60861.423	50	NA
48	Spectrogram 1	1	1046.947700000	1046.986200000	T0000015 sinmarcas.wav	64138.577	76779.026	50	NA
49	Spectrogram 1	1	1049.509800000	1049.542215385	T0000015 sinmarcas.wav	51029.963	58520.599	50	NA
