Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.022389744	0.052854478	44454.2	60739.4
2	Spectrogram 1	1	0.052120388	0.086989661	66461.3	80545.8
3	Spectrogram 1	1	0.170675918	0.196736112	44014.1	59419.0
4	Spectrogram 1	1	0.196369067	0.231972430	62500.0	85387.3
5	Spectrogram 1	1	0.324834811	0.365943850	45334.5	61179.6
6	Spectrogram 1	1	0.455135781	0.483031200	41813.4	60739.4
7	Spectrogram 1	1	1.018915986	1.063328429	46536.8	59794.4
8	Spectrogram 1	1	1.056721620	1.069935239	64123.4	78733.8
9	Spectrogram 1	1	1.271990810	1.306125993	44101.7	57088.7
10	Spectrogram 1	1	1.427249255	1.454410584	45454.5	57900.4
11	Spectrogram 1	1	1.444867414	1.486710542	64664.5	80627.7
12	Spectrogram 1	1	1.842008132	1.862929696	65476.2	78463.2
13	Spectrogram 1	1	2.024796290	2.049021259	45995.7	58441.6
14	Spectrogram 1	1	2.036541729	2.050489439	61688.3	78192.6
15	Spectrogram 1	1	2.459006376	2.488369975	45454.5	58712.1
16	Spectrogram 1	1	2.730617974	2.744932728	44642.9	53030.3
17	Spectrogram 1	1	2.758146348	2.777232687	64123.4	75487.0
18	Spectrogram 1	1	3.116378626	3.133629740	48160.2	59253.2
19	Spectrogram 1	1	3.135464965	3.166663789	65476.2	81439.4
20	Spectrogram 1	1	3.459565539	3.480854149	44372.3	57629.9
21	Spectrogram 1	1	3.469842799	3.500307533	66017.3	77651.5
22	Spectrogram 1	1	3.750264697	3.789171466	42207.8	53571.4
23	Spectrogram 1	1	4.095653666	4.116942275	47348.5	60876.6
24	Spectrogram 1	1	4.116208185	4.141167244	63311.7	76569.3
25	Spectrogram 1	1	4.379004976	4.394053820	46536.8	57629.9
26	Spectrogram 1	1	4.394420865	4.434795813	66287.9	80627.7
27	Spectrogram 1	1	4.802197561	4.823853216	47889.6	58982.7
28	Spectrogram 1	1	4.866428870	4.890653839	65476.2	74134.2
29	Spectrogram 1	1	4.980209864	5.010674597	48160.2	57088.7
30	Spectrogram 1	1	5.116747568	5.133998682	47348.5	59523.8
31	Spectrogram 1	1	5.132163457	5.165931596	65476.2	78733.8
32	Spectrogram 1	1	5.375143450	5.394963879	46536.8	56547.6
33	Spectrogram 1	1	5.389825249	5.422492253	66017.3	80627.7
34	Spectrogram 1	1	5.670242413	5.693366247	46536.8	57900.4
