Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	1.874299564	1.882348883	82929.8	92009.7
2	Spectrogram 1	1	9.920246267	9.935271662	62651.3	71428.6
3	Spectrogram 1	1	10.851355855	10.865844629	62954.0	78389.8
4	Spectrogram 1	1	10.865844629	10.877918607	87167.1	98668.3
5	Spectrogram 1	1	12.711297768	12.722030193	63559.3	70217.9
6	Spectrogram 1	1	12.874698940	12.900456760	61440.7	71125.9
7	Spectrogram 1	1	16.724713275	16.757983793	52966.1	67796.6
8	Spectrogram 1	1	17.876577121	17.938556876	59322.0	81113.8
9	Spectrogram 1	1	22.424068020	22.434532135	60835.4	68099.3
10	Spectrogram 1	1	23.134358106	23.145358842	42070.2	55084.7
11	Spectrogram 1	1	23.142675736	23.157432820	63862.0	72336.6
12	Spectrogram 1	1	23.155822957	23.183190641	44188.9	78995.2
13	Spectrogram 1	1	23.650051043	23.683858182	46610.2	62651.3
14	Spectrogram 1	1	26.963509746	26.983096422	45399.5	61743.3
15	Spectrogram 1	1	27.092298803	27.113227032	46912.8	61138.0
16	Spectrogram 1	1	29.972613032	29.991394776	62348.7	72336.6
17	Spectrogram 1	1	34.717954166	34.749614820	50847.5	63559.3
18	Spectrogram 1	1	35.605257323	35.651675061	43280.9	63256.7
19	Spectrogram 1	1	42.746611903	42.771833102	50242.1	60532.7
20	Spectrogram 1	1	43.055437390	43.112855865	46307.5	56598.1
21	Spectrogram 1	1	43.622914278	43.654574932	48426.2	59927.4
22	Spectrogram 1	1	44.771283630	44.789528753	55387.4	65678.0
23	Spectrogram 1	1	46.410393031	46.431321260	47215.5	62348.7
24	Spectrogram 1	1	46.430248017	46.445541723	63256.7	78087.2
25	Spectrogram 1	1	46.443126927	46.459762186	52360.8	61743.3
26	Spectrogram 1	1	50.812564916	50.838322737	56900.7	75363.2
27	Spectrogram 1	1	50.792709930	50.816589576	65980.6	88075.1
28	Spectrogram 1	1	51.310549397	51.337917081	49334.1	60835.4
29	Spectrogram 1	1	51.337917081	51.352137544	58111.4	81719.1
30	Spectrogram 1	1	54.036853326	54.067172427	57808.7	64467.3
31	Spectrogram 1	1	57.041395332	57.082446858	32082.3	43280.9
32	Spectrogram 1	1	59.689084292	59.715647044	53874.1	64164.6
33	Spectrogram 1	1	60.296002842	60.344567066	43886.2	58414.0
34	Spectrogram 1	1	62.096366885	62.123734569	64164.6	76271.2
