Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	68.544615793	68.570486426	49153.6	61849.0
2	Spectrogram 1	1	78.542249901	78.564096213	55338.5	65429.7
3	Spectrogram 1	1	80.300093924	80.314179046	54687.5	66406.2
4	Spectrogram 1	1	82.678535063	82.697794312	52408.9	62174.5
5	Spectrogram 1	1	85.399281239	85.434062868	59895.8	70963.5
6	Spectrogram 1	1	85.683084648	85.743162006	56640.6	72591.1
7	Spectrogram 1	1	85.987158608	86.023090042	56315.1	72916.7
8	Spectrogram 1	1	86.018490818	86.056721864	83333.3	99283.9
9	Spectrogram 1	1	86.616766109	86.638612422	59895.8	67708.3
10	Spectrogram 1	1	86.748706336	86.791824058	55664.1	68033.9
11	Spectrogram 1	1	92.478601290	92.510795855	55989.6	71614.6
12	Spectrogram 1	1	100.905621728	100.936666488	53385.4	71289.1
13	Spectrogram 1	1	104.692078396	104.710762742	49804.7	62500.0
14	Spectrogram 1	1	111.608175678	111.625997670	53059.9	63802.1
15	Spectrogram 1	1	118.470806987	118.488916430	65104.2	77799.5
16	Spectrogram 1	1	122.307855114	122.322515139	25065.1	37109.4
17	Spectrogram 1	1	124.937191721	124.978872185	55338.5	72591.1
18	Spectrogram 1	1	131.887158608	131.914466498	46875.0	59895.8
19	Spectrogram 1	1	132.285754463	132.304151358	52408.9	63151.0
20	Spectrogram 1	1	154.290862324	154.306959607	13997.4	23437.5
21	Spectrogram 1	1	159.476810288	159.505842887	52408.9	68359.4
22	Spectrogram 1	1	176.444532968	176.462642411	25390.6	50130.2
23	Spectrogram 1	1	179.011879434	179.039187324	36458.3	55664.1
24	Spectrogram 1	1	180.811304531	180.830276329	55989.6	69335.9
25	Spectrogram 1	1	180.828551620	180.852410092	75195.3	91145.8
