Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.235897764	0.277362258	58122.6	76605.1
2	Spectrogram 1	1	0.643896518	0.660110199	58122.6	74902.7
3	Spectrogram 1	1	0.656654824	0.682968830	38424.1	46935.8
4	Spectrogram 1	1	0.777858685	0.786098425	60797.7	74416.3
5	Spectrogram 1	1	0.878064199	0.886835534	66147.9	70282.1
6	Spectrogram 1	1	1.387067398	1.426671306	59095.3	72714.0
7	Spectrogram 1	1	1.085121849	1.099474943	36965.0	44990.3
8	Spectrogram 1	1	1.069173966	1.079274292	56906.6	65904.7
9	Spectrogram 1	1	1.092298396	1.100803933	60554.5	67607.0
10	Spectrogram 1	1	2.207852631	2.225926898	62256.8	71011.7
11	Spectrogram 1	1	2.615320935	2.655722237	62500.0	79280.2
12	Spectrogram 1	1	2.758054482	2.780115719	34289.9	40856.0
13	Spectrogram 1	1	3.610734457	3.644756606	60311.3	76848.2
14	Spectrogram 1	1	3.749746831	3.779250413	34289.9	41342.4
15	Spectrogram 1	1	3.737520121	3.748949437	51799.6	59338.5
16	Spectrogram 1	1	3.747088851	3.763834127	67607.0	75145.9
17	Spectrogram 1	1	5.107177237	5.146249549	56420.2	67120.6
18	Spectrogram 1	1	5.523682719	5.561691839	52042.8	65904.7
19	Spectrogram 1	1	5.663758286	5.678642976	52529.2	61040.9
20	Spectrogram 1	1	5.779380388	5.814465729	53015.6	64202.3
21	Spectrogram 1	1	5.691135439	5.702033158	33803.5	41585.6
22	Spectrogram 1	1	6.502882560	6.559231745	60311.3	73686.8
23	Spectrogram 1	1	6.742366549	6.765225180	55690.7	71741.2
24	Spectrogram 1	1	6.771870131	6.780375668	50583.7	66147.9
25	Spectrogram 1	1	6.757782835	6.782502052	38910.5	44260.7
26	Spectrogram 1	1	8.228443061	8.263262605	28453.3	41828.8
27	Spectrogram 1	1	8.348849573	8.370113416	37451.4	48881.3
28	Spectrogram 1	1	8.463408483	8.514175909	31858.0	41585.6
29	Spectrogram 1	1	8.939718524	8.966298328	35992.2	43287.9
30	Spectrogram 1	1	8.958324387	8.974272269	61040.9	73443.6
31	Spectrogram 1	1	9.083249465	9.095741973	69795.7	76361.9
32	Spectrogram 1	1	9.443937314	9.488591385	53988.3	70768.5
33	Spectrogram 1	1	10.435895461	10.475499369	48638.1	59824.9
34	Spectrogram 1	1	12.884160885	12.914727659	52529.2	71498.1
35	Spectrogram 1	1	13.771660447	13.787076734	35262.6	44017.5
36	Spectrogram 1	1	14.286511159	14.319735914	60554.5	78064.2
37	Spectrogram 1	1	14.926818546	14.963498675	66391.1	83657.6
38	Spectrogram 1	1	15.688861434	15.729794332	59095.3	74173.2
39	Spectrogram 1	1	15.533369581	15.554367626	59338.5	68579.8
40	Spectrogram 1	1	15.561809971	15.572707691	69795.7	78064.2
41	Spectrogram 1	1	15.558886193	15.568189124	91439.7	99708.2
42	Spectrogram 1	1	15.840897912	15.856048400	53258.8	63959.1
43	Spectrogram 1	1	15.807407359	15.826279020	50826.8	58852.1
44	Spectrogram 1	1	15.823355241	15.851795632	27966.9	39883.3
45	Spectrogram 1	1	17.306241989	17.361793779	62500.0	80496.1
46	Spectrogram 1	1	18.790457772	18.829530084	61284.0	69309.3
47	Spectrogram 1	1	19.141045340	19.167093548	51556.4	62013.6
48	Spectrogram 1	1	19.257996478	19.272881168	54961.1	63716.0
49	Spectrogram 1	1	19.361126072	19.400995778	29426.1	37208.2
50	Spectrogram 1	1	19.498809456	19.540273950	33073.9	42801.6
51	Spectrogram 1	1	19.729522109	19.748925366	37694.6	44990.3
52	Spectrogram 1	1	20.013925966	20.043429548	37451.4	45476.7
53	Spectrogram 1	1	20.291950715	20.325441268	62743.2	75389.1
54	Spectrogram 1	1	20.556153921	20.580341542	34046.7	43287.9
55	Spectrogram 1	1	21.003491975	21.024755819	34289.9	46206.2
56	Spectrogram 1	1	21.092534274	21.117519289	34776.3	45963.0
57	Spectrogram 1	1	21.287364236	21.302248926	58852.1	69552.5
58	Spectrogram 1	1	21.299325148	21.326702346	37694.6	47665.4
