Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	3.349774027	3.365539467	62500.0	70282.1
2	Spectrogram 1	1	15.965539518	15.989794041	63472.8	75875.5
3	Spectrogram 1	1	18.607376167	18.636885836	61527.2	75145.9
4	Spectrogram 1	1	20.884790969	20.902173377	62743.2	70768.5
5	Spectrogram 1	1	23.910762319	23.945527135	57879.4	67850.2
6	Spectrogram 1	1	34.751490814	34.783830178	49854.1	60554.5
7	Spectrogram 1	1	34.782213210	34.795957439	58852.1	77334.6
8	Spectrogram 1	1	36.423950091	36.467608231	38424.1	50583.7
9	Spectrogram 1	1	38.384738613	38.416673734	37208.2	44747.1
10	Spectrogram 1	1	45.924506549	45.957250154	38424.1	48638.1
11	Spectrogram 1	1	49.919251402	49.939867746	80252.9	95087.5
12	Spectrogram 1	1	51.358767160	51.382617440	54961.1	64931.9
13	Spectrogram 1	1	51.658615096	51.714804740	50097.3	66147.9
14	Spectrogram 1	1	56.832034932	56.861140359	52286.0	65661.5
15	Spectrogram 1	1	64.424254522	64.443658140	53501.9	60554.5
16	Spectrogram 1	1	66.346739861	66.396057390	48151.8	62986.4
17	Spectrogram 1	1	69.991206486	70.022333123	49124.5	59338.5
18	Spectrogram 1	1	70.028800995	70.069225199	33803.5	38180.9
19	Spectrogram 1	1	70.367960068	70.397873979	50583.7	59338.5
20	Spectrogram 1	1	69.741384836	69.763618149	55204.3	62500.0
21	Spectrogram 1	1	71.519241303	71.547942488	57879.4	72227.6
22	Spectrogram 1	1	71.536219469	71.559665507	74173.2	93628.4
23	Spectrogram 1	1	72.943505925	72.967356205	43044.7	62256.8
24	Spectrogram 1	1	72.975441046	72.996461632	51070.0	62013.6
25	Spectrogram 1	1	74.776249530	74.795653148	56177.0	70038.9
26	Spectrogram 1	1	75.191206486	75.213035556	47908.6	57393.0
27	Spectrogram 1	1	75.210205861	75.230013721	65175.1	74416.3
28	Spectrogram 1	1	75.755228944	75.809397377	47179.0	58122.6
29	Spectrogram 1	1	76.419099186	76.449821582	46935.8	63472.8
30	Spectrogram 1	1	77.862657516	77.875997504	52772.4	61284.0
31	Spectrogram 1	1	78.093479722	78.125414843	72227.6	80982.5
32	Spectrogram 1	1	82.957654396	82.992419212	63229.6	76848.2
33	Spectrogram 1	1	82.985951339	83.010610104	47908.6	59095.3
34	Spectrogram 1	1	83.130669990	83.174732372	47665.4	61040.9
35	Spectrogram 1	1	83.741080472	83.771398626	52529.2	67120.6
36	Spectrogram 1	1	84.447800371	84.478522766	46935.8	58608.9
37	Spectrogram 1	1	85.574632562	85.616269492	70525.3	79766.5
38	Spectrogram 1	1	85.991406106	86.016873355	36478.6	52286.0
39	Spectrogram 1	1	87.165739237	87.219503428	53745.1	67607.0
40	Spectrogram 1	1	87.919251402	87.964526511	48151.8	62500.0
41	Spectrogram 1	1	94.245679351	94.292571427	54961.1	65175.1
42	Spectrogram 1	1	94.509245162	94.573923888	54961.1	63959.1
43	Spectrogram 1	1	95.289741733	95.314804740	74416.3	86332.7
44	Spectrogram 1	1	96.208588893	96.247800371	67120.6	79523.3
45	Spectrogram 1	1	96.244566435	96.280139735	55447.5	63716.0
46	Spectrogram 1	1	97.962909543	98.006567683	33560.3	41585.6
47	Spectrogram 1	1	100.039311288	100.080543977	48394.9	62986.4
48	Spectrogram 1	1	100.389789138	100.429000616	50826.8	64688.7
49	Spectrogram 1	1	100.743505925	100.767760447	47179.0	53988.3
50	Spectrogram 1	1	101.555633186	101.594036180	47179.0	58852.1
51	Spectrogram 1	1	102.637789065	102.689127804	45963.0	56663.4
52	Spectrogram 1	1	103.911555799	103.964107264	44747.1	67850.2
53	Spectrogram 1	1	104.913671881	104.960563958	49854.1	66391.1
54	Spectrogram 1	1	107.726388190	107.794300853	49854.1	63959.1
55	Spectrogram 1	1	108.422088774	108.485959017	47665.4	59338.5
56	Spectrogram 1	1	108.469385093	108.481916596	65418.3	79523.3
57	Spectrogram 1	1	108.975091918	109.003388860	49854.1	61284.0
58	Spectrogram 1	1	110.184988409	110.206008995	49124.5	62013.6
59	Spectrogram 1	1	110.199136881	110.224604129	66147.9	80739.3
60	Spectrogram 1	1	111.376289798	111.399331594	33317.1	44503.9
61	Spectrogram 1	1	113.540197568	113.568090269	55690.7	68336.6
62	Spectrogram 1	1	113.553133314	113.580621773	64688.7	89494.2
63	Spectrogram 1	1	114.089562533	114.104923731	68823.0	78550.6
64	Spectrogram 1	1	114.712903792	114.743221945	49367.7	63229.6
65	Spectrogram 1	1	114.735137104	114.760604353	63472.8	85603.1
66	Spectrogram 1	1	115.388796516	115.428007994	45476.7	57636.2
67	Spectrogram 1	1	116.544524605	116.563928223	50097.3	60797.7
68	Spectrogram 1	1	118.627583968	118.676901497	29182.9	39153.7
69	Spectrogram 1	1	181.316227653	181.344928838	59803.9	72794.1
70	Spectrogram 1	1	181.460137820	181.500157782	60294.1	73774.5
71	Spectrogram 1	1	181.333610061	181.359481552	83088.2	101225.5
72	Spectrogram 1	1	182.557655024	182.572611980	61764.7	71568.6
73	Spectrogram 1	1	182.566548349	182.586356209	84558.8	95833.3
74	Spectrogram 1	1	182.739563943	182.759371803	58088.2	68627.5
75	Spectrogram 1	1	183.512474788	183.560983832	84803.9	101715.7
76	Spectrogram 1	1	183.554111718	183.575536546	66176.5	81372.5
77	Spectrogram 1	1	189.272924216	189.294753287	61274.5	75735.3
78	Spectrogram 1	1	204.075864424	204.095672284	62745.1	76960.8
79	Spectrogram 1	1	207.794487178	207.815507764	52696.1	62500.0
80	Spectrogram 1	1	211.809015138	211.844184196	64705.9	72549.0
81	Spectrogram 1	1	212.822045724	212.852768119	64215.7	76225.5
82	Spectrogram 1	1	212.967572890	213.028209196	62254.9	68872.5
83	Spectrogram 1	1	213.750993997	213.765546711	67156.9	75980.4
84	Spectrogram 1	1	226.419131861	226.465619696	74509.8	83578.4
85	Spectrogram 1	1	250.423025696	250.449301429	58088.2	71813.7
86	Spectrogram 1	1	250.437982652	250.459003238	80147.1	92402.0
87	Spectrogram 1	1	250.458598996	250.480832308	65441.2	72549.0
88	Spectrogram 1	1	250.578658882	250.617061876	57598.0	66421.6
89	Spectrogram 1	1	278.051757358	278.067522798	64460.8	70833.3
90	Spectrogram 1	1	278.059842199	278.080862785	85784.3	93382.4
91	Spectrogram 1	1	286.295465647	286.340336513	55637.3	65686.3
92	Spectrogram 1	1	289.320408873	289.342237943	61029.4	74754.9
93	Spectrogram 1	1	293.230237989	293.272683403	58578.4	68627.5
94	Spectrogram 1	1	294.044785733	294.056104510	77451.0	87009.8
95	Spectrogram 1	1	295.811727819	295.843258698	58823.5	66176.5
96	Spectrogram 1	1	298.527021611	298.554510069	51470.6	60294.1
97	Spectrogram 1	1	299.143086512	299.173808908	47794.1	59313.7
98	Spectrogram 1	1	299.163702857	299.191999799	67156.9	85049.0
99	Spectrogram 1	1	299.185936169	299.204127061	53186.3	64215.7
