Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.244316224	0.260932189	20102.3	31432.7
2	Spectrogram 1	1	0.508918496	0.523277971	74561.4	88815.8
3	Spectrogram 1	1	0.497841186	0.524098513	30701.8	48245.6
4	Spectrogram 1	1	0.503995247	0.512610932	69444.4	75657.9
5	Spectrogram 1	1	1.379539493	1.391642480	80774.9	108918.1
6	Spectrogram 1	1	9.279896439	9.301230517	30336.3	47149.1
7	Spectrogram 1	1	9.395777264	9.418137019	27777.8	38742.7
8	Spectrogram 1	1	30.083377030	30.094249205	39108.2	47514.6
9	Spectrogram 1	1	36.287989041	36.294963643	80409.4	104166.7
10	Spectrogram 1	1	51.045016677	51.054042633	61038.0	74195.9
11	Spectrogram 1	1	69.396141393	69.412347087	34356.7	55190.1
12	Spectrogram 1	1	75.849992876	75.864967758	18274.9	25950.3
13	Spectrogram 1	1	79.504605046	79.529631561	56652.0	81871.3
14	Spectrogram 1	1	131.451445214	131.464163607	35453.2	44590.6
15	Spectrogram 1	1	153.759551947	153.770013851	36184.2	45687.1
16	Spectrogram 1	1	209.691956295	209.705084959	67617.0	79678.4
17	Spectrogram 1	1	219.462126707	219.487768628	31432.7	46052.6
18	Spectrogram 1	1	225.174480796	225.181045128	57017.5	69809.9
19	Spectrogram 1	1	242.839448676	242.850731121	76023.4	88450.3
20	Spectrogram 1	1	249.040117152	249.073759352	31798.2	48611.1
21	Spectrogram 1	1	249.054886898	249.062271771	69078.9	81505.8
22	Spectrogram 1	1	260.133757917	260.147091716	61403.5	81505.8
23	Spectrogram 1	1	262.769253415	262.780535860	69444.4	80043.9
24	Spectrogram 1	1	290.554741834	290.568075633	40935.7	52266.1
25	Spectrogram 1	1	293.941719230	293.951975998	59576.0	74195.9
26	Spectrogram 1	1	298.860789692	298.870841325	36549.7	52997.1

