Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	0.128102566	0.150809710	55702.9	67307.7
2	Spectrogram 1	1	0.141812540	0.158093134	79244.0	90517.2
3	Spectrogram 1	1	0.281054460	0.321755944	54708.2	66644.6
4	Spectrogram 1	1	0.444288833	0.469995034	55371.4	68965.5
5	Spectrogram 1	1	0.465710667	0.485418754	69297.1	87533.2
6	Spectrogram 1	1	1.210762113	1.238182060	57692.3	70954.9
7	Spectrogram 1	1	3.454913391	3.492615818	56366.0	75265.3
8	Spectrogram 1	1	3.586015014	3.615148708	55702.9	68965.5
9	Spectrogram 1	1	5.394017886	5.414582847	57692.3	67639.3
10	Spectrogram 1	1	5.524262636	5.579102531	48076.9	64323.6
11	Spectrogram 1	1	7.297133734	7.317698694	56697.6	69628.6
12	Spectrogram 1	1	7.310843708	7.331837105	73939.0	90185.7
13	Spectrogram 1	1	7.617604368	7.640311512	53713.5	68302.4
14	Spectrogram 1	1	8.071747278	8.095311295	53713.5	67307.7
15	Spectrogram 1	1	8.083315068	8.119303749	70954.9	87864.7
16	Spectrogram 1	1	8.246977878	8.284251869	47745.4	66313.0
17	Spectrogram 1	1	8.394788564	8.432919429	54708.2	61671.1
18	Spectrogram 1	1	8.636855286	8.679698954	54708.2	63328.9
19	Spectrogram 1	1	9.040871105	9.073860729	52718.8	65981.4
20	Spectrogram 1	1	13.411353903	13.439202287	53382.0	70623.3
21	Spectrogram 1	1	13.668415909	13.731396100	58023.9	73275.9
22	Spectrogram 1	1	14.036871483	14.081000461	49403.2	61671.1
23	Spectrogram 1	1	14.321781873	14.353486187	65649.9	82228.1
24	Spectrogram 1	1	14.730082058	14.759644189	54376.7	65981.4
25	Spectrogram 1	1	14.754502949	14.765213866	70954.9	79575.6
26	Spectrogram 1	1	15.041555555	15.077115799	51724.1	63328.9
27	Spectrogram 1	1	15.262628880	15.293476321	48076.9	62334.2
28	Spectrogram 1	1	15.797317885	15.831592819	48408.5	64323.6
29	Spectrogram 1	1	16.002110616	16.029959000	50397.9	62665.8
30	Spectrogram 1	1	17.542768838	17.594609676	36140.6	46750.7
31	Spectrogram 1	1	17.250575025	17.267284056	51724.1	62002.7
32	Spectrogram 1	1	17.674298898	17.692293239	35809.0	46419.1
33	Spectrogram 1	1	17.882090719	17.948498404	35477.5	47082.2
34	Spectrogram 1	1	18.167429545	18.189708253	61339.5	75265.3
35	Spectrogram 1	1	18.346516109	18.366224196	61671.1	70954.9
36	Spectrogram 1	1	19.023017654	19.040155121	36472.1	47082.2
37	Spectrogram 1	1	19.288648393	19.321209580	38130.0	52718.8
38	Spectrogram 1	1	20.060691349	20.108676257	60676.4	76591.5
39	Spectrogram 1	1	19.829335544	19.853756435	37798.4	45756.0
40	Spectrogram 1	1	20.358883276	20.387588533	62002.7	76591.5
