Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	6.671442689	6.690749310	50925.9	61728.4
2	Spectrogram 1	1	9.614135205	9.647232269	55246.9	70987.7
3	Spectrogram 1	1	15.861712235	15.899291194	57716.0	70679.0
4	Spectrogram 1	1	17.304117849	17.332733020	39197.5	47839.5
5	Spectrogram 1	1	17.722734948	17.748247269	37963.0	49691.4
6	Spectrogram 1	1	23.995518124	24.014824745	57098.8	68209.9
7	Spectrogram 1	1	24.242022245	24.270637415	33333.3	41975.3
8	Spectrogram 1	1	26.954108207	26.997203343	32716.0	41049.4
9	Spectrogram 1	1	28.481363617	28.544110136	58950.6	75308.6
10	Spectrogram 1	1	31.311396295	31.356559998	31481.5	45679.0
11	Spectrogram 1	1	34.815514249	34.842405614	37654.3	45061.7
12	Spectrogram 1	1	36.734798507	36.798924070	29629.6	46604.9
13	Spectrogram 1	1	38.031444792	38.065576140	44444.4	49382.7
14	Spectrogram 1	1	38.054199024	38.078332300	64506.2	82098.8
15	Spectrogram 1	1	38.408958127	38.435159970	58950.6	70987.7
16	Spectrogram 1	1	38.425506660	38.440676148	73148.1	93518.5
17	Spectrogram 1	1	45.237984178	45.264530782	53703.7	67284.0
18	Spectrogram 1	1	45.769605721	45.821319884	32407.4	43209.9
19	Spectrogram 1	1	45.646870773	45.667901199	31172.8	40740.7
20	Spectrogram 1	1	47.890920230	47.931257277	58950.6	77160.5
21	Spectrogram 1	1	54.276584079	54.296235461	33024.7	46913.6
22	Spectrogram 1	1	58.228235227	58.238922821	35493.8	54629.6
23	Spectrogram 1	1	84.442484107	84.468685950	86111.1	104321.0
24	Spectrogram 1	1	84.441105063	84.477304977	61728.4	80864.2
25	Spectrogram 1	1	87.375366164	87.404326095	67901.2	81481.5
26	Spectrogram 1	1	103.962508767	103.987676327	35185.2	47839.5
27	Spectrogram 1	1	108.349937816	108.377173942	56481.5	73456.8
28	Spectrogram 1	1	109.235628940	109.264933633	52160.5	63271.6
29	Spectrogram 1	1	109.102551159	109.123581586	56790.1	64197.5
30	Spectrogram 1	1	109.117031125	109.128753002	70061.7	85802.5
31	Spectrogram 1	1	111.808580605	111.830645315	49691.4	58024.7
32	Spectrogram 1	1	111.818233916	111.835127209	62037.0	70987.7
33	Spectrogram 1	1	112.103696099	112.136103641	59567.9	73148.1
34	Spectrogram 1	1	115.234471149	115.307905261	30555.6	46296.3
35	Spectrogram 1	1	115.841595312	115.889861865	32407.4	45061.7
36	Spectrogram 1	1	116.034316762	116.055347188	35802.5	44753.1
37	Spectrogram 1	1	133.980163019	134.021879111	29629.6	40432.1
38	Spectrogram 1	1	140.758164802	140.769541918	81790.1	92592.6
39	Spectrogram 1	1	140.777126662	140.801259938	81172.8	94753.1
40	Spectrogram 1	1	148.030554058	148.051929246	52777.8	64506.2
41	Spectrogram 1	1	148.273955388	148.284642982	58333.3	69444.4
42	Spectrogram 1	1	150.705554820	150.734859512	45370.4	57407.4
43	Spectrogram 1	1	150.731756663	150.763129922	63271.6	75000.0
44	Spectrogram 1	1	151.617447786	151.643994390	52469.1	60185.2
45	Spectrogram 1	1	151.949107955	151.992203091	69444.4	81790.1
46	Spectrogram 1	1	151.980481214	152.016681129	53703.7	62345.7
47	Spectrogram 1	1	155.937648423	155.967987399	28086.4	37037.0
48	Spectrogram 1	1	158.050688911	158.073443143	28703.7	43518.5
49	Spectrogram 1	1	158.146532494	158.171355292	27777.8	38271.6
50	Spectrogram 1	1	167.908096284	167.932229560	31790.1	41975.3
51	Spectrogram 1	1	167.955673314	167.974635174	37345.7	41358.0
52	Spectrogram 1	1	168.333531469	168.370765667	32098.8	50308.6
53	Spectrogram 1	1	170.846494518	170.878212538	26234.6	39814.8
54	Spectrogram 1	1	175.464912879	175.479048084	74691.4	86111.1
55	Spectrogram 1	1	175.654876240	175.681078083	53395.1	63888.9
56	Spectrogram 1	1	188.722698476	188.749589841	46913.6	56790.1
57	Spectrogram 1	1	188.747866035	188.760622195	57716.0	72839.5
58	Spectrogram 1	1	188.415861164	188.442407768	58642.0	74382.7
59	Spectrogram 1	1	188.401381198	188.418619252	50308.6	59259.3
60	Spectrogram 1	1	190.090365545	190.114843582	60185.2	68827.2
61	Spectrogram 1	1	194.027536669	194.066839433	27777.8	39197.5
62	Spectrogram 1	1	197.224505662	197.250707505	26851.9	38888.9
63	Spectrogram 1	1	270.148361067	270.180423848	48456.8	61111.1
64	Spectrogram 1	1	270.155945811	270.175597193	65123.5	81790.1
65	Spectrogram 1	1	272.518938030	272.550311290	79938.3	96296.3
66	Spectrogram 1	1	272.676838551	272.704419439	53086.4	70061.7
67	Spectrogram 1	1	279.302111171	279.319693987	46913.6	57716.0
68	Spectrogram 1	1	286.258698826	286.288348279	23765.4	35493.8
