Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Spectrogram 1	1	2.611223429	2.657206489	75974.0	92857.1
2	Spectrogram 1	1	12.013675607	12.032813066	64285.7	72402.6
3	Spectrogram 1	1	13.835145272	13.850827356	61039.0	71103.9
4	Spectrogram 1	1	22.301860586	22.327111400	63961.0	74675.3
5	Spectrogram 1	1	25.442587652	25.460396121	57792.2	65909.1
6	Spectrogram 1	1	27.147106179	27.183254713	56493.5	66233.8
7	Spectrogram 1	1	27.282131538	27.301800593	61039.0	70779.2
8	Spectrogram 1	1	27.512046842	27.534373877	51623.4	61688.3
9	Spectrogram 1	1	27.852687930	27.891760242	48051.9	62337.7
10	Spectrogram 1	1	32.297461845	32.334939368	50000.0	61039.0
11	Spectrogram 1	1	35.459067102	35.480862541	54870.1	69155.8
12	Spectrogram 1	1	38.944448170	38.968104196	48376.6	57142.9
13	Spectrogram 1	1	39.749704233	39.781599998	51623.4	58441.6
14	Spectrogram 1	1	41.798465119	41.827171307	58116.9	68506.5
15	Spectrogram 1	1	42.054960181	42.068250083	50649.4	58766.2
16	Spectrogram 1	1	46.668635850	46.711960931	33116.9	44805.2
17	Spectrogram 1	1	50.296810443	50.334022169	45129.9	56818.2
18	Spectrogram 1	1	57.026579804	57.071233874	26623.4	38961.0
19	Spectrogram 1	1	58.792086003	58.820792191	51623.4	59415.6
20	Spectrogram 1	1	62.872828663	62.906850812	56493.5	66233.8
21	Spectrogram 1	1	64.891640386	64.920612372	55844.2	66558.4
22	Spectrogram 1	1	66.988776545	67.003129639	60714.3	76298.7
23	Spectrogram 1	1	74.050089845	74.079061831	52922.1	65584.4
24	Spectrogram 1	1	76.462522472	76.486975892	30194.8	41883.1
25	Spectrogram 1	1	77.696690549	77.729383708	25974.0	37337.7
26	Spectrogram 1	1	80.305787620	80.317482733	62987.0	78246.8
27	Spectrogram 1	1	80.280802604	80.320140714	47077.9	59740.3
28	Spectrogram 1	1	89.377646953	89.400239786	30519.5	37987.0
29	Spectrogram 1	1	94.544242286	94.565771928	55844.2	64285.7
30	Spectrogram 1	1	97.668901616	97.698936794	56493.5	69805.2
31	Spectrogram 1	1	119.696312682	119.712792160	31818.2	39610.4
32	Spectrogram 1	1	148.157000592	148.181719810	54545.5	64285.7
33	Spectrogram 1	1	277.266165566	277.278126477	39935.1	61363.6
